2025-01-01 23:09:38,436 - INFO - Episode 1810/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:32, Epsilon: 0.55
2025-01-01 23:09:41,663 - INFO - Episode 1820/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:31, Epsilon: 0.55
2025-01-01 23:09:44,724 - INFO - Episode 1830/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:21, Epsilon: 0.55
2025-01-01 23:09:47,783 - INFO - Episode 1840/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:27, Epsilon: 0.54
2025-01-01 23:09:50,876 - INFO - Episode 1850/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:33, Epsilon: 0.54
2025-01-01 23:09:54,033 - INFO - Episode 1860/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:25, Epsilon: 0.54
2025-01-01 23:09:57,343 - INFO - Episode 1870/10000, Total Reward: 7, Total Clear Lines:7, Total Blocks:43, Epsilon: 0.54
2025-01-01 23:10:00,534 - INFO - Episode 1880/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:30, Epsilon: 0.53
2025-01-01 23:10:03,784 - INFO - Episode 1890/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:28, Epsilon: 0.53
2025-01-01 23:10:06,688 - INFO - Episode 1900/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:25, Epsilon: 0.53
2025-01-01 23:10:09,913 - INFO - Episode 1910/10000, Total Reward: 2, Total Clear Lines:2, Total Blocks:36, Epsilon: 0.53
2025-01-01 23:10:13,414 - INFO - Episode 1920/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:32, Epsilon: 0.52
2025-01-01 23:10:17,034 - INFO - Episode 1930/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:31, Epsilon: 0.52
2025-01-01 23:10:20,233 - INFO - Episode 1940/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:32, Epsilon: 0.52
2025-01-01 23:10:23,543 - INFO - Episode 1950/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:18, Epsilon: 0.52
2025-01-01 23:10:26,787 - INFO - Episode 1960/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:26, Epsilon: 0.51
2025-01-01 23:10:29,775 - INFO - Episode 1970/10000, Total Reward: 1, Total Clear Lines:1, Total Blocks:26, Epsilon: 0.51
2025-01-01 23:10:32,833 - INFO - Episode 1980/10000, Total Reward: 0, Total Clear Lines:0, Total Blocks:28, Epsilon: 0.51
